headline,lead_paragraph,date
"Trump’s Tweets on Syria, Russia and China: The Triumph of Contradiction","WASHINGTON — President Trump’s fusillade of tweets about Syria, Russia and China this week set a new standard for contradictory and inconsistent positions in Mr. Trump’s approach to war, trade and relations with adversaries.",2018-04-12 00:44:37+00:00
Is Trump Serious About Trade War? China’s Leaders Hunt for Answers,"BEIJING — In an elegantly furnished back room at a conference in eastern China in December, a member of the Chinese leadership asked American tech executives for help.",2018-04-12 20:48:25+00:00
"Trump Weighs Return to Trans-Pacific Partnership. Not So Fast, Say Members.","BEIJING — As trade tensions with China escalate, President Trump has found new appeal in a regional trade pact he once called a “rape of our country.”",2018-04-13 09:11:42+00:00
China Fills Trump’s Empty Seat at Latin America Summit,"Vice President Mike Pence may be taking President Trump’s place at the Summit of the Americas in Lima, Peru, on Friday, but the vacuum left by the United States’ steady retreat from the region was filled, much earlier, by China.",2018-04-13 15:05:19+00:00
"China’s Economy Grows, and Its Trade Gap With the U.S. Widens","SHANGHAI — China’s economy grew at a healthy pace in the first three months of this year, propelled by strong household spending and heavy government investment in infrastructure.",2018-04-17 02:09:44+00:00
Huawei and ZTE Hit Hard as U.S. Moves Against Chinese Tech Firms,"The United States undercut China’s technology ambitions on Tuesday, advancing a new rule that would limit the ability of Chinese telecommunications companies to sell their products in this country.",2018-04-18 00:43:56+00:00
"China Conducts War Games, and Taiwan Is the Target","HONG KONG — China carried out live-fire military drills in the Taiwan Strait on Wednesday, its state news media reported, an exercise intended to show the growing strength of its navy and deliver a message to self-governed Taiwan, which China claims as its territory.",2018-04-18 07:34:52+00:00
Key Dates to Watch in China-U.S. Trade Dispute: DealBook Briefing,Good Tuesday. Here’s what we’re watching:,2018-04-18 11:43:45+00:00
"Treaty to Formally End Korean War Is Being Discussed, South Confirms","SEOUL, South Korea — South Korea confirmed on Wednesday that it had been in talks with American and North Korean officials about negotiating a peace treaty to formally end the Korean War after more than 60 years, as the United States and its ally try to establish a basis for persuading the North to give up its nuclear weapons.",2018-04-18 13:47:16+00:00
Qualcomm May Be Collateral Damage in a U.S.-China Trade War,"WASHINGTON — A looming trade war between the United States and China has put Qualcomm, one of America’s largest technology companies, squarely in the middle of the battlefield.",2018-04-18 22:09:59+00:00
Meet Me in Mongolia: How Aging Aircraft May Dictate Kim-Trump Venue,"WASHINGTON — Of all the obstacles to the potential summit meeting between President Trump and North Korea’s leader, Kim Jong-un, just getting there could prove the most turbulent.",2018-04-18 23:52:56+00:00
"North Korea Drops Troop Demand, but U.S. Reacts Warily","North Korea has dropped its demand that American troops be removed from South Korea as a condition for giving up its nuclear weapons, South Korea’s president said Thursday in presenting the idea to the United States.",2018-04-19 11:27:20+00:00
"In a Trade War, China Might Boycott U.S. Goods. That Could Backfire.","TAICANG, China — If China calls for a boycott of American goods, Chinese workers like David Xu could be in trouble.",2018-04-19 18:09:10+00:00
U.S. Human Rights Report Labels Russia and China Threats to Global Stability,"The Trump administration on Friday labeled Russia and China threats to global stability, saying that their poor human rights records put the countries, the United States’ principle strategic rivals, in the same ranks as Iran and North Korea.",2018-04-20 22:44:28+00:00
"What Does Kim Jong-un Want? U.S. Fears Answer Is ‘Give a Little, Gain a Lot’","WASHINGTON — As North Korea’s reclusive ruler, Kim Jong-un, prepares for a landmark meeting with President Trump, he has seized the diplomatic high ground, making conciliatory gestures on nuclear testing and American troops that have buoyed hopes in South Korea and won praise from Mr. Trump himself, who called it “big progress.”",2018-04-21 21:34:27+00:00
"China, Feeling Left Out, Has Plenty to Worry About in North Korea-U.S. Talks","BEIJING — As the North Korean leader, Kim Jong-un, prepares for his meetings with the presidents of South Korea and the United States, China has found itself in an unaccustomed place: watching from the sidelines.",2018-04-22 16:33:54+00:00
Steven Mnuchin Will Head to China as Trade Tensions Mount,"WASHINGTON — With trade tensions mounting between the United States and China, President Trump said he would dispatch his Treasury secretary, Steven Mnuchin, and other top economic advisers to Beijing next week to try to forestall an all-out trade war.",2018-04-24 23:02:22+00:00
Trump’s Pick for U.S. Ambassador to Australia Heads to Seoul Instead,"The Trump administration has abruptly decided that Washington’s pick for ambassador to Australia should instead become envoy to South Korea, filling a diplomatic void just as President Trump prepares to meet Kim Jong-un, North Korea’s leader, officials said on Wednesday.",2018-04-25 02:33:54+00:00
"When Modi and Xi Meet, Indian Elections Will Set the Tone","NEW DELHI — When the leaders of the world’s two most populous nations meet on Friday in the Chinese city of Wuhan, Prime Minister Narendra Modi of India will be pushing to get less from President Xi Jinping of China.",2018-04-26 08:07:58+00:00
Kim Jong-un Sells a Peace Bridge,Kim Jong-un has a peace bridge he’d like to sell you.,2018-04-28 00:52:04+00:00
"Korean Accord Draws Praise, and Caution, From North’s Neighbors","SEOUL, South Korea — China, Japan and Russia — North Korea’s neighbors — while offering praise for the summit meeting with South Korea that riveted the world this week, appeared to acknowledge one thing: Now comes the hard part.",2018-04-28 12:46:43+00:00
U.S. Allies Brace for Trade War as Tariff Negotiations Stall,"BERLIN — A few weeks ago, it felt as if a trade war pitting the United States against allies like Australia, Canada and the European Union was over before it even began. The Trump administration dispensed so many temporary exemptions to steel and aluminum tariffs that many countries figured the threats were just political theater.",2018-04-29 17:43:46+00:00
"Wary of Being Left Out, Japan Will Host Chinese and South Korean Leaders","TOKYO — A blistering pace of meetings to discuss the prospects for peace on the Korean Peninsula will continue next week in Tokyo, when Japan hosts a meeting with leaders from China and South Korea.",2018-05-01 18:20:27+00:00
"Trump Trade Officials Will Present a Hard Line in China, but Internally They Are Divided",WASHINGTON — Top Trump administration officials are arriving in China this week armed with tough talk about Beijing’s need to change its trade practices. But within the United States delegation there is little consensus about what concessions America should try to extract — or the best approach to getting the Chinese to agree.,2018-05-02 19:55:03+00:00
China Moves to Steady Ties With North Korea Before Trump-Kim Meeting,"BEIJING — As North Korea holds summit meetings with its archenemies — first South Korea, and soon the United States — China is hustling not to lose influence.",2018-05-03 08:37:59+00:00
Trump’s Talk of U.S. Troop Cuts Unnerves South Korea and Japan,"SEOUL, South Korea — With diplomacy moving apace to end North Korea’s nuclear weapons program, Northeast Asia is bracing for something few had thought likely just months ago: a reduction or withdrawal of American troops from South Korea.",2018-05-04 11:00:10+00:00
"U.S.-China Trade Talks End With Strong Demands, but Few Signs of a Deal","BEIJING — Senior Chinese and American officials concluded two days of negotiations on Friday with no deal and no date set for further talks, as the United States stepped up its demands for Chinese concessions to avert a potential trade war.",2018-05-04 12:07:56+00:00
"In Discussion Ostensibly About Tax Cuts, Trump Keeps China in Cross Hairs","CLEVELAND — President Trump kept China in his sights on Saturday, using a visit to the industrial Midwest to promote his hard-line trade tactics, while the White House rebuked the Chinese government for demanding that foreign airlines change how they refer to Taiwan.",2018-05-05 20:09:07+00:00
‘Orwellian Nonsense’? China Says That’s the Price of Doing Business,"BEIJING — Tensions between Washington and Beijing have spilled into a new and unexpected battleground: the pull-down menus on airline websites, where customers click on departures and destinations.",2018-05-06 18:00:13+00:00
The Quiet Americans Behind the U.S.-Russia Imbroglio,"The strangest Russian political scandal so far this year — a year that hasn’t lacked for them — revolves around a Belarusian escort named Anastasia Vashukevich, who goes by the name Nastya Rybka. Rybka, whose pseudonym means “little fish,” is a prolific Instagrammer, a teacher of “sex workshops” and the author of a how-to book, “Who Wants to Seduce a Billionaire?” She became famous in Russia this year for having chronicled, on Instagram, her 2016 affair with one particular billionaire, Oleg Deripaska. A few weeks later, she caught the world’s attention after she was arrested in Thailand in the middle of a sex workshop and then claimed, from the back of a police van, that she possessed information that could blow the investigation into Russian meddling in the American presidential election wide open.",2018-05-08 09:00:08+00:00
What’s Kim Jong-un’s Surname? Mike Pompeo Is Learning the Hard Way,"HONG KONG — When Secretary of State Mike Pompeo briefly spoke with reporters on Tuesday ahead of a trip to North Korea, he answered questions about President Trump’s planned summit meeting with the North Korean leader, Kim Jong-un, with diplomatic platitudes.",2018-05-09 06:08:22+00:00
Trump’s Iran Decision Sends North Korea a Signal. Was It the Right One?,"TOKYO — In announcing his decision to  exit the Iran nuclear accord, President Trump said he also wanted to send a signal about the kind of hard bargain he plans to drive with another longtime American adversary, North Korea.",2018-05-09 10:37:59+00:00
Chinese Tech Giant on Brink of Collapse in New U.S. Cold War,"SHENZHEN, China — Not Apple. Not Huawei. The first casualty of the high-tech cold war between the United States and China might be the biggest electronics maker you’ve never heard of.",2018-05-09 16:06:39+00:00
U.S. Pullout From Iran Nuclear Deal May Unsettle Oil Markets,HOUSTON — President Trump’s decision to withdraw from the Iran nuclear deal has so far had no more than a muted effect on oil and gasoline prices. But that could easily change.,2018-05-09 19:34:37+00:00
"On U.S.-North Korea Talks, China May Hold the Cards","DANDONG, China — Along the Chinese border with North Korea, the evidence of Beijing’s leverage in the coming talks between President Trump and the North Korean leader, Kim Jong-un, is everywhere.",2018-05-11 14:28:30+00:00
"In About-Face on Trade, Trump Vows to Protect ZTE Jobs in China","SHANGHAI — As China and the United States go toe-to-toe on trade and maneuver ahead of a historic North Korea meeting next month, an unlikely obstacle has emerged: a second-tier Chinese electronics maker, ZTE.",2018-05-13 16:36:58+00:00
"All About ZTE, the Chinese Sanctions Breaker That Trump Wants to Help","SHANGHAI — President Trump has said that he will help save  ZTE, a Chinese electronics maker. The company was on the brink of collapse after United States officials punished it last month for breaking American sanctions against countries including Iran and North Korea.",2018-05-14 11:45:41+00:00
Trump Shifts From Trade War Threats to Concessions in Rebuff to Hard-Liners,"WASHINGTON — President Trump’s recent threat to impose tariffs on as much as $150 billion worth of Chinese goods appeared to be the first volley in what looked like a full-scale trade war with the nation’s greatest economic adversary. Now, suddenly, Mr. Trump seems ready to make peace.",2018-05-14 14:55:06+00:00
Allies at Cross-Purposes: Trump Puts Europe Into Damage-Control Mode,"BRUSSELS — After a series of decisions by President Trump that have split the trans-Atlantic alliance, European foreign ministers have begun a scramble to contain the fallout to their own interests, global institutions and stability in the Middle East.",2018-05-15 18:51:23+00:00
Trump Indonesia Real Estate Project Gets Chinese Government Ally,HONG KONG — The Trump Organization’s partner in a lavish Indonesian development project boasting a six-star hotel and golf course with President Trump’s name has brought on a new ally: a Chinese state-owned company.,2018-05-15 19:04:20+00:00
"On Trade, the U.S. and China Consider the Unthinkable: Breaking Up","BEIJING — The economic relationship between China and the United States has defined the modern era. It helped lift hundreds of millions of people in China out of poverty. It gave affordable iPhones and other gadgets to American consumers, handed big profits to American companies and delivered 1.3 billion hungry customers to American farmers.",2018-05-16 17:25:29+00:00
"In Rebuke of Trump, Tillerson Says Lies Are a Threat to Democracy","WASHINGTON — In a veiled rebuke of President Trump, former Secretary of State Rex W. Tillerson warned on Wednesday that American democracy was threatened by a growing “crisis of ethics and integrity.”",2018-05-16 21:03:55+00:00
"China Plans Up to $200 Billion in Trade Concessions, but Skepticism Abounds","WASHINGTON — President Trump, facing an economic war with China and a momentous meeting with North Korea, is considering a trade deal with Beijing that would soothe tensions and clear the way for his historic encounter with Kim Jong-un. But it would risk abandoning the president’s broader goal of punishing China for years of pressuring American companies to hand over sensitive technology.",2018-05-17 16:21:32+00:00
"Clashing With Trump, E.U. Tries to Blunt U.S. Sanctions on Iran","SOFIA, Bulgaria — Venting anger at President Trump, European leaders said Thursday they would take steps aimed at blunting the effects of the American sanctions he restored on Iran, which could penalize European companies doing business there.",2018-05-17 21:26:05+00:00
Sanctions on Iran and Venezuela May Empower U.S. Rivals,"HOUSTON — President Trump faces a difficult juggling act as he tries to persuade China, India and other countries to join in oil sanctions against Iran while also pressuring Venezuela.",2018-05-17 21:47:12+00:00
Boosting U.S. Exports to China by $200 Billion Is a Tricky Task,"Dear Xi Jinping,",2018-05-18 21:31:07+00:00
Israel and Evangelicals: New U.S. Embassy Signals a Growing Alliance,"A night after the dedication of the new United States Embassy in Jerusalem, Prime Minister Benjamin Netanyahu of Israel convened American evangelicals to plan their next steps.",2018-05-19 17:42:19+00:00
"U.S. and China Tout Trade Talks as Success, but Leave the Details for Later","WASHINGTON — China will increase its purchase of American goods and services in order to reduce the multibillion-dollar trade imbalance with the United States, the two countries said in a joint statement Saturday.",2018-05-19 18:25:13+00:00
"U.S. Suspends Tariffs on China, Stoking Fears of a Loss of Leverage","WASHINGTON — The Trump administration has suspended its plan to impose sweeping tariffs on China as it presses forward with trade talks, a gesture that will temporarily ease tensions between the two nations but rapidly increase pressure on President Trump to secure the type of tough deal that he has long said is necessary to protect American workers.",2018-05-20 15:15:45+00:00
"In China, Photo of Trade Talks Embodies ‘Young’ Country Passing Aging U.S.","SHANGHAI — During trade talks in Washington last week, some people in China saw an exorcism of bitter, century-old ghosts.",2018-05-21 12:13:33+00:00
Trump’s Charm and Threats May Not Be Working on China. Here’s Why.,China has called President Trump’s bluff.,2018-05-21 15:17:42+00:00
Chances of China Trade Win Undercut by Trump Team Infighting,"WASHINGTON — By the time American negotiators wrapped up high-level talks with a visiting Chinese delegation last week, President Trump’s ambitions for a multibillion-dollar trade agreement had, for the time being, shriveled into a blandly worded communiqué without any dollar figures. It was not clear that the talks set a path to success.",2018-05-22 00:12:13+00:00
"With Senator’s Snub, Australia Gets Stood Up by U.S. — Again","SYDNEY, Australia — Australia’s hankering for a United States ambassador hit another snag on Tuesday when Senator Bob Corker of Tennessee announced that he had turned down the job.",2018-05-22 09:59:19+00:00
"China Cuts Car Tariffs, in a Small Offering to the U.S. on Trade","HONG KONG — China has carried out a pledge to cut tariffs on imported cars and car parts, the latest move by Beijing to ease trade tensions with the United States. The American auto industry and its workers, however, might be unimpressed.",2018-05-22 11:26:36+00:00
Can Trump Still Claim Victory if Kim Jong-un Keeps His Nuclear Arms?,"TOKYO — From the moment President Trump accepted an audacious invitation to meet Kim Jong-un, North Korea’s leader, he raised expectations that he would finally do what none of his predecessors had: get North Korea to abandon its nuclear arsenal.",2018-05-22 12:31:14+00:00
Why Trump’s Intense Focus on the Trade Deficit Could Cost the Economy in the Long Run,"The Great Sino-American Trade War of 2018 has fizzled, at least for now. Global markets rose Monday after the Trump administration, at least for the time being, backed away from its threat to impose tariffs on Chinese imports.",2018-05-22 16:44:21+00:00
Trump Denies Reaching Deal With China on ZTE,"President Trump declared on Tuesday that he was not happy with how recent trade talks with China had gone, and said the United States had not reached a deal to suspend penalties on the Chinese telecom firm ZTE, disputing reports that the administration had decided to go easy on the company in return for trade concessions.",2018-05-22 17:40:17+00:00
"First Cuba, Now China? An American Falls Ill After ‘Abnormal’ Sounds","BEIJING — An American government employee posted in southern China has signs of possible brain injury after reporting disturbing sounds and sensations, the State Department said on Wednesday, in events that seemed to draw parallels with mysterious ailments that struck American diplomats in Cuba.",2018-05-23 12:49:03+00:00
Pompeo Says Mysterious Sickness Among Diplomats in Cuba Has Spread to China,"WASHINGTON — The same symptoms of a mysterious attack that sickened American diplomats in Cuba have been reported at a United States consulate in southern China, Secretary of State Mike Pompeo told lawmakers on Wednesday.",2018-05-23 17:21:51+00:00
U.S. Disinvites China From Military Exercise Amid Rising Tensions,"WASHINGTON — The United States has disinvited China from participating in a multinational naval exercise scheduled for this summer, further escalating tensions with Beijing that have spanned from trade to North Korea to the military.",2018-05-23 19:51:21+00:00
Canceling of Trump-Kim Meeting Shakes Asia but Could Help China,"BEIJING — President Trump’s decision on Thursday to cancel his planned summit meeting with Kim Jong-un, North Korea’s leader, will disappoint some allies in Asia, hearten others — and perhaps put China in the strongest position of all.",2018-05-24 09:05:41+00:00
"North Korea, Malaysia Airlines, Deutsche Bank: Your Friday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2018-05-24 19:45:19+00:00
Pompeo Flashes Temper Over Question on Trump Business Interests,WASHINGTON — Secretary of State Mike Pompeo on Thursday dismissed as “bizarre” and “outrageous” a Democratic senator’s question about whether President Trump’s business interests could be affecting his administration’s foreign policy.,2018-05-24 21:57:08+00:00
"Trump Administration Plans to Revive ZTE, Prompting Backlash","WASHINGTON — The Trump administration told lawmakers it had reached a deal that would keep the Chinese telecom firm ZTE alive, a person familiar with the matter said, a move that could clear the way for further trade talks with China but provoke anger in Congress.",2018-05-25 16:09:26+00:00
Here Are the Biggest Stories in American Politics This Week ,"President Trump on Thursday sent a letter to the North Korean leader, Kim Jong-un, pulling out of a highly anticipated summit meeting next month and accusing the North Koreans of bad faith. But the next day, he said that his administration was back in touch with North Korea, and that the meeting may be rescheduled. ",2018-05-25 21:32:22+00:00
"Trump’s On-Again, Off-Again Summit Style Unnerves Asian Allies",TOKYO — Leaders in Asia have grown accustomed by now to President Trump’s breathtaking unpredictability.,2018-05-25 23:55:16+00:00
Keeping Summit Hopes Alive Suggests Kim Jong-un May Need a Deal,"SEOUL, South Korea — Ever since Kim Jong-un took over as the young, untested ruler of North Korea seven years ago, he has promised his country a future free from deprivation.",2018-05-26 04:40:05+00:00
China Warns 2 American Warships in South China Sea,BEIJING — China’s military announced on Sunday that it had dispatched warships to challenge two United States Navy vessels that sailed through waters in the South China Sea that China claims as its own.,2018-05-27 18:45:33+00:00
"U.S. Markets Close for Holiday, and May Jobs Numbers Come Out",Here’s what to expect in the week ahead:,2018-05-27 20:11:56+00:00
"North Korea, Ireland, South China Sea: Your Monday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2018-05-27 20:33:31+00:00
"Top Aide to Kim Jong-un Is Bound for U.S., Trump Says","BEIJING — North Korea’s top nuclear weapons negotiator was headed for New York on Tuesday and plans to meet with Secretary of State Mike Pompeo as officials race to settle on an agenda for a June 12 summit meeting between the North’s leader, Kim Jong-un, and President Trump in Singapore.",2018-05-29 06:54:05+00:00
"Trump, Stung by Being Attacked as Soft on China, Pushes Ahead on Tariffs","WASHINGTON — President Trump, stung by criticism that he has gone soft on China and less worried about Beijing’s ability to disrupt a potential summit meeting with North Korea, reversed course on Tuesday and declared that the United States would impose tariffs and other punitive measures on China.",2018-05-29 13:29:29+00:00
"Myanmar Is Intensifying Violence Against Ethnic Minorities, U.S. Says","WASHINGTON — Myanmar’s military campaign to kill or drive away its ethnic minorities is worsening despite a growing international outcry, according to a State Department religious freedom report that was released on Tuesday.",2018-05-29 18:21:26+00:00
Don’t Call It an Embassy: U.S. Gives Its Taiwan Ties a $250 Million Upgrade,"TAIPEI, Taiwan — On June 12, in a leafy, middle-class neighborhood in Taiwan’s capital, Taipei, the unofficial, Cold War-era relationship between this island and the United States is getting a major upgrade.",2018-05-31 07:39:37+00:00
"White House to Impose Metal Tariffs on E.U., Canada and Mexico","WASHINGTON — The Trump administration said on Thursday that it would impose steep tariffs on metals imported from its closest allies, provoking retaliation against American businesses and consumers and further straining diplomatic ties tested by the president’s combative approach.",2018-05-31 13:44:01+00:00
China Cuts Tariffs Ahead of U.S. Commerce Secretary’s Visit to Beijing,"SHANGHAI — China announced Thursday evening that it would cut tariffs sharply on July 1 for an eclectic array of imported goods, the latest in a series of moves by Beijing to dismantle steep trade barriers at a time of rising frictions with the United States.",2018-05-31 14:59:16+00:00
Worried About Big Tech? Chinese Giants Make America’s Look Tame,"BEIJING — Forget Google versus Facebook. Forget Uber versus Lyft. Forget Amazon versus … well, everybody.",2018-05-31 20:14:45+00:00
Trump Dangles Aid Before North Korea. But Does Kim Jong-un Want It?,TOKYO — North Korea wants the United States to know: It’s not about the money.,2018-06-01 12:39:16+00:00
A Day of Peril for the E.U.: Threats Emerge From the U.S. and Within,"First, Italy swore in a euroskeptic government that has worried the financial markets. Then a pro-Europe government in Spain suddenly collapsed, even as the bloc’s leaders were contending with trade tariffs imposed by President Trump.",2018-06-01 20:23:06+00:00
Mattis Accuses Beijing of ‘Intimidation and Coercion’ in South China Sea,"SINGAPORE — Secretary of Defense Jim Mattis harshly criticized the Chinese government on Saturday for its continuing militarization of a string of islands in the South China Sea, calling the new presence of advanced military equipment and missiles there a flagrant show of military power.",2018-06-02 03:49:03+00:00
"Within Trump’s Trade Factions, Nations Look for a Friendly Face","SHANGHAI — As the United States challenges Europe, China, Canada, Mexico and much of the rest of the world over trade, deep factionalism within the Trump administration has flummoxed both American allies and rivals. The White House strikes a conciliatory tone one day and a militant one the next, often depending on which Trump advisers are in favor.",2018-06-02 14:08:00+00:00
"Mexico, Hitting Back, Imposes Tariffs on $3 Billion Worth of U.S. Goods","WASHINGTON — Mexico hit back at the United States on Tuesday, imposing tariffs on around $3 billion worth of American pork, steel, cheese and other goods in response to the Trump administration’s steel and aluminum levies, further straining relations between the two countries as they struggle to rewrite the North American Free Trade Agreement.",2018-06-05 15:33:34+00:00
China Offers to Buy Nearly $70 Billion of American Goods if U.S. Halts Tariffs,"WASHINGTON — China offered to purchase nearly $70 billion of energy, agricultural and manufactured products from the United States in the first year of a deal that would require the Trump administration to suspend tariffs on Chinese products, a person familiar with the talks said.",2018-06-05 19:55:05+00:00
Facebook Gave Data Access to Chinese Firm Flagged by U.S. Intelligence,"Facebook has data-sharing partnerships with at least four Chinese electronics companies, including a manufacturing giant that has a close relationship with China’s government, the social media company said on Tuesday.",2018-06-05 23:07:42+00:00
"America, Hold On to Your Allies. You’ll Need Them.","When leaders of the Group of 7 countries meet in Quebec on Friday, the United States can expect a chilly reception. The other G-7 countries — France, Germany, Britain, Italy, Japan and Canada — have already expressed “unanimous concern and disappointment” with President Trump’s tariffs on steel and aluminum in a joint statement issued by their finance ministers last week.",2018-06-05 23:11:02+00:00
U.S. Diplomats Evacuated in China as Medical Mystery Grows,"GUANGZHOU, China — A crisis over a mysterious ailment sickening American diplomats and their families — which began in Cuba and recently appeared in China — has widened as the State Department evacuated at least two more Americans from China on Wednesday.",2018-06-06 20:27:49+00:00
China Pledges to Investigate Fears of Sonic Attacks on U.S. Diplomats,BEIJING — China said on Thursday that it is prepared to help get to the bottom of a mysterious illness that has sickened Americans working at the United States Consulate in the southern part of the country and led to the evacuation of a number of diplomats this week.,2018-06-07 12:31:39+00:00
Trump Strikes Deal to Save China’s ZTE as North Korea Meeting Looms,"WASHINGTON — President Trump handed the Chinese telecommunications firm ZTE a lifeline on Thursday, agreeing to lift tough American sanctions over the objections of Republican lawmakers, his defense advisers and some of his own economic officials.",2018-06-07 12:49:46+00:00
What Is ZTE? A Chinese Geopolitical Pawn That Trump Wants to Rescue.,"ZTE, the Chinese telecommunications giant that was on the brink of collapse after being hit with tough penalties by the Trump administration, has become a linchpin of trade relations between the United States and China. On Thursday, Wilbur Ross, the commerce secretary, said the administration had reached a deal to lift restrictions imposed on ZTE after it was found to have violated American sanctions related to doing business with countries like Iran and North Korea. ZTE’s fate has been at the center of a broader dispute between China and the United States, and the deal announced on Thursday could inflame a battle with Congress over national security interests.",2018-06-07 16:56:22+00:00
"How a Chinese Manuscript Written 2,300 Years Ago Ended Up in Washington","BEIJING — Sitting in an underground storeroom near the Washington Mall is a tiny silk parchment. Written 2,300 years ago, it is a Chinese version of the Dead Sea Scrolls, with text that swirls like the stars through the firmament and describes the relationship between humans and heaven.",2018-06-08 07:00:05+00:00
U.S. Issues Alert to Americans in China in Wake of Sonic Attack Fears,"BEIJING — The State Department issued a health alert on Friday to American citizens living or traveling in China, advising them to seek medical attention if they experienced “auditory or sensory phenomena” similar to those experienced by American diplomats evacuated to the United States.",2018-06-08 08:58:51+00:00
The G6+1,This article is part of the Opinion Today newsletter. You can sign up here to receive the newsletter each weekday.,2018-06-08 12:04:07+00:00
"China’s ZTE, Saved by U.S., Has a Checkered Past and Shaky Future",BEIJING — The Chinese electronics maker ZTE has survived its brush with death. Now it has to figure out how to stay in business.,2018-06-08 17:37:57+00:00
Chinese Hackers Steal Unclassified Data From Navy Contractor,"WASHINGTON — China has stolen sensitive data related to naval warfare from the computers of a Navy contractor, American officials said on Friday, in another step in the long-running cyberwar between two global adversaries.",2018-06-08 23:18:29+00:00
"Before Kim Meets Trump, China Gets Jittery About North Korea’s Intentions","BEIJING — In the sudden rush of diplomacy involving North Korea, China has appeared to have the upper hand, hosting the North Korean leader, Kim Jong-un, twice before his long-anticipated Singapore summit meeting with President Trump even begins.",2018-06-10 16:23:25+00:00
Putin Says He Would Welcome a Meeting With Trump,MOSCOW — President Vladimir V. Putin of Russia said on Sunday during a visit to China that he would meet President Trump “as soon as the American side is ready” but insisted Russia was in no hurry to win readmission to the Group of 7 nations because it already belongs to a Chinese-led grouping that he described as more important.,2018-06-10 20:05:02+00:00
ZTE’s Near-Collapse May Be China’s Sputnik Moment,"HONG KONG — Once derided as a technology backwater and copycat, China is justifiably proud of its technology boom. Its people zip around the country on high-speed trains. They can buy, and pay for, just about anything with their smartphones. For Chinese traveling abroad, the rest of the world can seem slow and antiquated.",2018-06-10 22:41:25+00:00
Trump Upends Global Trade Order Built by U.S.,"WASHINGTON — At the rockiest annual meeting of major Western powers in decades, President Trump criticized the tariffs imposed on American goods as “ridiculous and unacceptable” and vowed to put an end to being “like a piggy bank that everybody is robbing.”",2018-06-11 00:13:54+00:00
How Did Kim Jong-un Get to Singapore? With Some Help From China.,"BEIJING — When Kim Jong-un arrived in Singapore on Sunday for his landmark summit meeting with President Trump, he stepped off a jumbo jet emblazoned with the logo of Air China and the Chinese national flag.",2018-06-11 13:39:49+00:00
"U.S. Unveils an Office in Taiwan, but Sends No Top Officials","TAIPEI, Taiwan — The United States unveiled its unofficial embassy in Taiwan’s capital on Tuesday, holding a low-key ceremony that signaled its support for the self-governing island while also trying to avoid a bigger clash with China, which claims Taiwan as its territory.",2018-06-12 06:07:23+00:00
"North Korea, World Cup, Yemen: Your Thursday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2018-06-13 19:57:21+00:00
"Fearing Wrath of Trump, Republicans Back Down on Free Trade","WASHINGTON — They have issued concerned news releases and sent solemn tweets. But when it came time to stand up to President Trump on tariffs this week, Senate Republicans took a pass, casting aside the party’s long-held commitment to free trade for fear of poking the bear.",2018-06-13 22:17:26+00:00
U.S. Insists Sanctions Will Remain Until North Korea Denuclearizes,"BEIJING — Secretary of State Mike Pompeo told Asian powers on Thursday that President Trump was sticking to demands that North Korea surrender its nuclear weapons, as he sought to hold together a fragile consensus on maintaining tough sanctions against the North despite Mr. Trump’s declaration that it was “no longer a nuclear threat.”",2018-06-14 11:17:17+00:00
"Trump Expected to List China Tariffs, Potentially Reigniting Trade War","WASHINGTON — The White House is expected on Friday to release a final list of Chinese goods that it plans to subject to tariffs and could soon begin putting some of those levies into effect, potentially reigniting a trade war that had been on the back burner while President Trump engaged in delicate nuclear diplomacy with North Korea.",2018-06-14 23:25:56+00:00
"North Korea Film Glorifies Kim’s World Debut, With Trump in Starring Role","SEOUL, South Korea — Ever since Kim Jong-un, the North Korean leader, began his diplomatic outreach this spring, meeting the presidents of China and South Korea, North Korea has used it to glorify him as a pioneering peacemaker.",2018-06-15 11:35:00+00:00
U.S. and China Expand Trade War as Beijing Matches Trump’s Tariffs,"WASHINGTON — The Trump administration on Friday escalated a trade war between the world’s two largest economies, moving ahead with tariffs on $50 billion of Chinese goods and provoking an immediate tit-for-tat response from Beijing.",2018-06-15 12:15:02+00:00
Complex With New Trump Golf Club Will Get Chinese Help,"A new Trump-affiliated real-estate project in Dubai will feature an 18-hole golf course designed by Tiger Woods, extensive greenery and hundreds of luxury villas. A company controlled by Beijing will help make it a reality.",2018-06-15 14:21:33+00:00
Trade Skirmish or War? Who Gets Hurt? ,"In the first year of the Trump administration, the president’s threats to upend the global trade system seemed like mostly bluster — lots of threats, not much action.",2018-06-15 17:16:36+00:00
Trump’s Promises to Kim Jong-un Leave U.S. and Allies Scrambling,"WASHINGTON — President Trump praised the strongman tactics of North Korea’s leader, Kim Jong-un, and dismissed American military exercises with South Korea as a waste of money on Friday, as his administration and allies scrambled to accommodate the president’s promises to Mr. Kim after their historic summit meeting this week.",2018-06-16 00:36:15+00:00
China’s Official News Media Sharply Criticize Trump,"SHANGHAI — The newspaper that serves as the mouthpiece of the Chinese Communist Party had four words to describe the Trump administration on Saturday: rude, unreasonable, selfish and headstrong.",2018-06-16 15:06:41+00:00
