headline,lead_paragraph,date
Confronting Russia Holds Peril for U.S.,"WASHINGTON — It could have been President Obama issuing a firm warning — measured, devoid of bellicose threats — to President Vladimir V. Putin that the West would keep the pressure on as long as Russia interfered with Ukraine’s sovereignty.",2015-06-14 14:28:40+00:00
The Democratic Tea Party,"Last week, the Congressional Democrats defeated the underpinnings of the Trans-Pacific Partnership trade agreement. Let’s count up the things these Democrats will have done if this policy stands.",2015-06-16 07:21:05+00:00
"As Tensions With U.S. Grow, Beijing Says It Will Stop Building Artificial Islands in South China Sea","BEIJING — By declaring Tuesday that it would soon complete its contentious program of building artificial islands in the South China Sea, Beijing hopes to diminish tensions with the United States while reassuring its home audience that it has delivered on its pledge to resist American military pressure, experts said.",2015-06-16 12:30:42+00:00
Donald Trump on the Issues,"Donald J. Trump’s entry into the race for the Republican presidential nomination amounts to his first actual foray into elective politics after several threats. A real estate developer and host of “The Celebrity Apprentice,” he opines about many issues in colorful terms, and is fast on the trigger with denunciations, but does not always make his own policy recommendations clear.",2015-06-16 16:24:15+00:00
"U.S. Lags in Efforts to Rein In Omar al-Bashir of Sudan, Critics Say","When they heard the sound of galloping horses, or the roar of planes overhead, the women ran with children on their backs and hid in the hills.",2015-06-17 13:40:17+00:00
Cold War Without the Fun,"Let’s see, America is prepositioning battle tanks with our East European NATO allies to counterbalance Russia; U.S. and Russian military planes recently flew within 10 feet of each other; Russia is building a new generation of long-range ballistic missiles; and the U.S. and China are jostling in the South China Sea. Did someone restart the Cold War while I was looking the other way?",2015-06-24 07:21:06+00:00
"Hollande Condemns Spying by U.S., but Not Too Harshly",PARIS — The French government on Wednesday reacted with carefully calibrated anger to revelations about extensive eavesdropping by the United States government on the private conversations of senior French officials — including three presidents.,2015-06-24 11:01:15+00:00
Iran Again Chided on Human Rights Amid Efforts to Reach Nuclear Deal,"WASHINGTON — The State Department issued a dismal assessment of Iran’s record on human rights on Thursday, hours before Secretary of State John Kerry was to leave for Vienna to try to conclude a nuclear accord with Tehran.",2015-06-25 18:29:06+00:00
How to Get Smart About Iran,"With less than a week to go before the June 30 deadline for a nuclear deal between Iran and the major powers, there is an intensifying debate in Washington about the strengths and weaknesses of any agreement that might emerge. There are also growing questions about whether – after 19 months of negotiation – an agreement is even possible, given what appears to be a growing intransigence on the Iranian side.",2015-06-25 20:38:02+00:00
A Good Bad Deal?,"Sometime after the 1973 war, I remember seeing a cartoon that showed President Anwar el-Sadat lying flat on his back in a boxing ring. The Israeli prime minister, Golda Meir, wearing boxing gloves, was standing over him, with Sadat saying to Meir something like, “I want the trophy, I want the prize money, I want the belt.”",2015-07-01 07:21:05+00:00
Your Wednesday Briefing,Good morning.,2015-07-01 09:50:26+00:00
Cuba’s Environmental Concerns Grow With Prospect of U.S. Presence,"HAVANA — Like many of his countrymen, Jorge Angulo hopes the United States will lift the decades-old economic embargo against Cuba.",2015-07-01 19:38:32+00:00
Your Wednesday Evening Briefing,Good evening. Here’s the latest.,2015-07-01 22:10:04+00:00
Cubans Greet Latest Step in U.S. Thaw With Hope Tempered by Reality,"MEXICO CITY — At the building along Havana’s seafront that will soon become America’s first embassy in Cuba in more than 50 years, life on Wednesday was yet unchanged: A lone Cuban flag flew in the forest of poles that obscures the building’s featureless facade — an official rebuke of the United States.",2015-07-02 00:31:15+00:00
The Man Who Saw America,"Last May, Robert Frank, the world’s pre-eminent living photographer, returned to Zurich, the orderly Swiss banking city, cosseted by lake and mountain, where he grew up. When an artist who made his reputation by leaving returns home, mixed feelings are inevitable, and that was especially true for Frank, whose iconic American pictures are notable for their deep understanding of human complication. ‘‘I know this town, but I certainly feel like a stranger here,’’ he said.",2015-07-02 11:00:27+00:00
"Germany, Again, Calls on U.S. to Answer Spying Accusations","BERLIN — This time, the Germans were more polite about wanting a word with the United States ambassador over accusations of American spying on top members of the government here.",2015-07-02 21:09:27+00:00
"Iran Faces Hard Choices in Nuclear Talks, Kerry Warns","VIENNA — Secretary of State John Kerry warned Iran on Sunday that hard choices were still needed to seal a landmark nuclear accord, and that the United States was prepared to walk away if a sound agreement could not be reached.",2015-07-05 19:33:53+00:00
The U.S. and the Asian Infrastructure Investment Bank,Obama is left outside in the rain.,2015-07-05 19:35:32+00:00
Common Ground for Vietnam and the U.S.  ,"Forty-plus years after the Americans withdrew from Vietnam, and 20 years after the two countries re-established diplomatic relations, President Obama took the relationship to a new level on Tuesday by hosting Nguyen Phu Trong, the head of Vietnam’s Communist Party, at the White House.",2015-07-08 01:47:27+00:00
Your Wednesday Briefing,(Want to get this briefing by email? Here’s the sign-up.),2015-07-08 09:47:49+00:00
Whose Party Is It Anyway?,Are the job losses resulting from trade larger or smaller than the economic gains?,2015-07-08 10:55:22+00:00
"In Iran Nuclear Talks, U.S. ‘Will Not Be Rushed,’ Kerry Says","VIENNA — Secretary of State John Kerry said on Thursday that the United States would continue to negotiate in pursuit of a nuclear agreement with Iran that could endure “for decades,” but cautioned that the talks would not be open-ended.",2015-07-09 09:43:12+00:00
Iran’s Unserious Critics,"The Republican chorus gets ever louder: Walk away from an Iran nuclear deal. But of course there is a deal in place, an interim one, much derided by that same chorus when it was concluded in November 2013. At the time, Bob Corker of the Senate Foreign Relations committee lambasted the accord as requiring “no sacrifice on their part whatsoever.”",2015-07-09 10:36:57+00:00
Putin Calls for End to Use of Sanctions and Criticizes U.S. in Afghanistan,"MOSCOW — President Vladimir V. Putin of Russia called on Friday for an end to the use of punitive financial and economic sanctions around the world, saying they should be “excluded from the international economic vocabulary.”",2015-07-10 12:09:53+00:00
"A Final Hurdle in Iran Talks Deals With Conventional, Not Nuclear, Arms",VIENNA — One of the last major obstacles to concluding a historic nuclear deal with Iran is a dispute over a set of United Nations sanctions that appeared to be resolved months ago and only peripherally has to do with nuclear weapons.,2015-07-10 20:04:10+00:00
"In Paris, Scientists Chart Varied Paths to a Sustainable Human Relationship With Earth’s Climate","A richly variegated four-day climate change conference, concluding yesterday in Paris, provided a sobering look at the mix of environmental, social and technological trends that have created humanity’s planet-size challenge — fitting seemingly infinite aspirations safely in a climate system that is showing signs of disruptive human-driven change.",2015-07-11 16:39:27+00:00
Deal Reached on Iran Nuclear Program; Limits on Fuel Would Lessen With Time,VIENNA — Iran and a group of six nations led by the United States reached a historic accord on Tuesday to significantly limit Tehran’s nuclear ability for more than a decade in return for lifting international oil and financial sanctions.,2015-07-14 07:09:30+00:00
Text and Video: Obama’s Address on the Iran Nuclear Deal,"Following is the full transcript, as provided by the White House, of President Obama’s remarks Tuesday morning on the nuclear deal with Iran. ",2015-07-14 14:01:59+00:00
Obama Makes His Case on Iran Nuclear Deal,"Only hours after the conclusion of an agreement with Iran to lift oil and financial sanctions in return for curbs on Iran’s nuclear capabilities, President Obama is a man who evinces no second thoughts whatsoever about the deal he struck. In a 45-minute interview in the Cabinet Room, the president kept stressing one argument: Don’t judge me on whether this deal transforms Iran, ends Iran’s aggressive behavior toward some of its Arab neighbors or leads to détente between Shiites and Sunnis. Judge me on one thing: Does this deal prevent Iran from breaking out with a nuclear weapon for the next 10 years and is that a better outcome for America, Israel and our Arab allies than any other alternative on the table?",2015-07-14 22:11:04+00:00
Russia Quickly Maneuvers to Capitalize on Iran Nuclear Deal,"MOSCOW — Sergey V. Lavrov, the Russian foreign minister, lost no time in talking about the accord on Iran’s nuclear program. He was on television minutes after the deal was clinched, and even before the formal news conference had begun, announcing the landmark agreement to the audience back home and emphasizing the many potential benefits, strategic and economic, that it holds for Russia.",2015-07-15 01:30:17+00:00
Japan Moves to Allow Military Combat for First Time in 70 Years,"TOKYO — Defying broad public opposition and large demonstrations, Prime Minister Shinzo Abe won a crucial vote in Parliament on Thursday for legislation that would give Japan’s military limited powers to fight in foreign conflicts for the first time since World War II.",2015-07-16 06:58:40+00:00
Shinzo Abe’s Military Plan Draws Sharp Response From Readers,"The government of Japan moved forward this week with its controversial plan to reverse its 70-year ban on sending its military forces to fight in conflicts abroad, and many Japanese as well as others in the region cried out in anger.",2015-07-18 05:34:01+00:00
"Ayatollah Khamenei, Backing Iran Negotiators, Endorses Nuclear Deal","TEHRAN — Ayatollah Ali Khamenei, the supreme leader of Iran, voiced support on Saturday for his country’s nuclear deal with world powers while emphasizing that it did not signal an end to Iran’s hostility toward the United States and its allies, especially Israel.",2015-07-18 06:05:30+00:00
"As U.S. and Cuba Relations Warm, Property Claims Issue Is Revived","WASHINGTON — When Amy Rosoff’s parents boarded a ferry from Cuba to Key West, Fla., in April 1961, they took only the clothes they could carry and a wedding band and diamond engagement ring, smuggled in a bundle of her brother’s cloth diapers that her mother had stained brown with vanilla to deter communist soldiers from searching them.",2015-07-20 01:02:22+00:00
ISIS Transforming Into Functioning State That Uses Terror as Tool,"ISTANBUL — The Islamic State uses terror to force obedience and frighten enemies. It has seized territory, destroyed antiquities, slaughtered minorities, forced women into sexual slavery and turned children into killers.",2015-07-21 09:00:25+00:00
Kerry Defends Iran Nuclear Deal Before Skeptical Senate,"WASHINGTON — After four and a half hours of contentious questioning, three cabinet secretaries deployed Thursday by President Obama to the Senate to defend his nuclear deal with Iran appeared to keep Democrats largely lined up as a bulwark against Republican opposition.",2015-07-23 15:44:57+00:00
Obama to Push U.S. Trade in Kenya as China’s Role Grows,"VOI, Kenya — After spending their days digging in the red-clay earth to build a railroad between Nairobi and the sprawling port city of Mombasa, the Chinese workers here retreat to metal trailers surrounded by barbed wire and armed guards.",2015-07-24 09:00:22+00:00
Your Friday Briefing,(Want to get this briefing by email? Here’s the sign-up.),2015-07-24 09:48:05+00:00
"Obama Arrives in Kenya, on Personal and Official Journey","NAIROBI, Kenya — President Obama arrived on Friday in Kenya, his father’s home country, for the start of a four-day swing through East Africa, combining a personal journey with a geopolitical mission that reinforces a shared campaign against Islamist extremism while wrestling with tough messages about democracy and gay rights.",2015-07-24 22:12:09+00:00
U.S. Fears Data Stolen by Chinese Hacker Could Identify Spies,WASHINGTON — American officials are concerned that the Chinese government could use the stolen records of millions of federal workers and contractors to piece together the identities of intelligence officers secretly posted in China over the years.,2015-07-25 01:29:11+00:00
Key Shift on Malaysia Before Trans-Pacific Partnership Deal,"WASHINGTON — With the Obama administration pushing to conclude a vast Asian trade pact, the State Department on Monday upgraded its assessment of Malaysia’s efforts to combat human trafficking, a move that could ease the country’s inclusion in the trade deal.",2015-07-27 16:00:03+00:00
Q. and A.: Christopher K. Johnson on the Heavy Thumb of Xi Jinping,Read in Chinese | 点击查看本文中文版,2015-07-28 08:09:40+00:00
"‘Nobody Should Be President for Life,’ Obama Tells Africa  ","ADDIS ABABA, Ethiopia — President Obama jabbed at the power structures of Africa on Tuesday by calling for long-entrenched leaders to step down, using off-the-cuff remarks about his own political standing and his stature as the first American president with African roots to try to reshape the continent’s politics.",2015-07-28 14:08:48+00:00
"Obama, on China’s Turf, Presents U.S. as a Better Partner for Africa","ADDIS ABABA, Ethiopia — Without ever quite saying so explicitly, President Obama used his four-day trip to Africa to suggest that the United States offers an alternative to China’s aggressive courtship of the continent.",2015-07-29 11:37:19+00:00
Why the Naysayers Are Wrong About the Iran Deal,"Mike Huckabee says President Obama is using his nuclear deal to “take the Israelis and march them to the door of the oven.” Mitt Romney describes it as a “generational calamity.” And while polls diverge, one recently taken by CNN suggests the public wants Congress to reject the agreement by a 52 percent to 44 percent majority.",2015-07-30 07:21:03+00:00
China Blames U.S. Military Actions for Tensions in the South China Sea,"HONG KONG — A top Chinese official said Thursday that American military drills and surveillance flights in the South China Sea were threatening regional stability, a harsh assessment that seemed likely to heighten tensions between the two countries before several crucial meetings.",2015-07-30 21:59:57+00:00
Your Friday Briefing,(Want to get the briefing by email? Here’s the sign-up.),2015-07-31 09:47:18+00:00
"A Voice From China’s Uighur Homeland, Reporting From the U.S.","WASHINGTON — IN December 1994, Shohret Hoshur, then a 29-year-old journalist in a remote corner of the far western Chinese region of Xinjiang, said goodbye to his homeland. After writing two articles in his native Uighur language that incensed the local authorities, he escaped using a false passport he bought for about $600.",2015-07-31 15:17:04+00:00
U.S. Decides to Retaliate Against China’s Hacking,"The Obama administration has determined that it must retaliate against China for the theft of the personal information of more than 20 million Americans from the databases of the Office of Personnel Management, but it is still struggling to decide what it can do without prompting an escalating cyberconflict.",2015-07-31 23:26:18+00:00
"Laos, Destination in Illegal Ivory Trade, So Far Eludes Global Crackdown","BANGKOK — When the authorities in Thailand recently intercepted huge stashes of ivory stuffed inside shipments of beans and tea leaves, the seizures were described as groundbreaking international police work.",2015-08-01 22:11:12+00:00
Chinese Textile Mills Are Now Hiring in Places Where Cotton Was King,"INDIAN LAND, S.C. — Twenty-five years ago, Ni Meijuan earned $19 a month working the spinning machines at a vast textile factory in the Chinese city of Hangzhou.",2015-08-02 10:00:24+00:00
Your Monday Briefing,(Want to get this briefing by email? Here’s the sign-up.),2015-08-03 09:47:15+00:00
"China Seeks Businessman Said to Have Fled to U.S., Further Straining Ties","LOOMIS, Calif. — China is demanding that the Obama administration return a wealthy and politically connected businessman who fled to the United States, according to several American officials familiar with the case. Should he seek political asylum, he could become one of the most damaging defectors in the history of the People’s Republic.",2015-08-03 15:03:33+00:00
John Kerry Wins Gulf States’ Cautious Support for Iran Deal,"DOHA, Qatar — Persian Gulf monarchies issued a cautious endorsement on Monday of the accord Secretary of State John Kerry negotiated last month to constrain Iran’s nuclear program.",2015-08-03 15:45:44+00:00
Obama Takes On Opponents of the Iran Deal,"President Obama on Wednesday made a powerful case for the strong and effective nuclear agreement with Iran. In a speech at American University, he directly rebutted critics like Prime Minister Benjamin Netanyahu of Israel and rightly warned of the damage to global security if the Republican-led Congress rejects the agreement.",2015-08-05 20:41:34+00:00
"3 U.S. Defeats: Vietnam, Iraq and Now Iran","The purpose of war, military or economic, is to get your enemy to do something it would rather not do. Over the past several years the United States and other Western powers have engaged in an economic, clandestine and political war against Iran to force it to give up its nuclear program.",2015-08-07 07:21:04+00:00
Kerry Tells Vietnam That U.S. Ties Will Deepen if Human Rights Are Protected,"HANOI, Vietnam — Secretary of State John Kerry told a group of Vietnamese officials and business leaders on Friday that improvements in human rights here would lead to deeper ties.",2015-08-07 07:53:29+00:00
Your Tuesday Briefing,(Want to get this briefing by email? Here’s the sign-up.),2015-08-11 09:46:38+00:00
Shinzo Abe’s Bid to Redefine Japan and Its Military Has Echoes of Family History,"In a famous photograph from his childhood, Prime Minister Shinzo Abe of Japan is seen perched on the knee of his smiling grandfather, Nobusuke Kishi, the influential postwar prime minister. There is no sign of the turmoil just outside the family home, where thousands were protesting Mr. Kishi’s plan to extend Japan’s military alliance with the United States.",2015-08-13 18:51:09+00:00
China’s Renminbi Devaluation May Initiate New Phase in Global Currency War,"For years, China looked like the principled noncombatant. As other countries, seeking to secure an economic advantage, let the value of their currencies slide on international markets, China held firm on the value of its money.",2015-08-13 20:58:34+00:00
Your Friday Briefing,(Want to get this briefing by email? Here’s the sign-up.),2015-08-14 09:47:33+00:00
Obama Administration Warns Beijing About Covert Agents Operating in U.S.,"WASHINGTON — The Obama administration has delivered a warning to Beijing about the presence of Chinese government agents operating secretly in the United States to pressure prominent expatriates — some wanted in China on charges of corruption — to return home immediately, according to American officials.",2015-08-16 20:08:45+00:00
Your Tuesday Briefing,(Want to get this briefing by email? Here’s the sign-up.),2015-08-18 09:46:31+00:00
State Department Fights for Rights of Gay Envoys,"WASHINGTON — Matthew Cuenca-Daigle’s husband is a Foreign Service officer who last year gladly accepted a position at the American Embassy in Beijing. But only months before his husband’s language training was to begin, embassy officials said it was unclear if Mr. Cuenca-Daigle could get a long-term visa, given that China does not recognize same-sex marriages.",2015-08-18 15:12:16+00:00
"In Letter, Obama Tells Congress U.S. Will Still Press Iran","WASHINGTON — In his most comprehensive effort to assure wavering Democrats, President Obama wrote in a letter to Congress that the United States would unilaterally maintain economic pressure and deploy military options if needed to deter Iranian aggression, both during and beyond the proposed nuclear accord.",2015-08-21 00:51:04+00:00
G.O.P. Candidates Take Aim at China as U.S. Markets Tumble,"Republican presidential candidates began shifting their focus on Monday from the dangers posed by illegal immigrants to a new target: China, whose currency devaluations and stock market plunges are starting to hurt the savings of American investors.",2015-08-25 01:04:06+00:00
Tourists Have Landed in Queens. They’re Staying.,"The panel on tourism was an all-star lineup of local entrepreneurs — a restaurateur, a museum director, a hotel executive, the founder of a weekend markets and a theater impresario.",2015-08-26 01:00:23+00:00
Your Thursday Evening Briefing,(Want to get this briefing by email? Here’s the sign-up.),2015-08-27 22:01:17+00:00
National Security Adviser Meets With Chinese President Before His U.S. Visit,"BEIJING — President Obama’s national security adviser, Susan E. Rice, met in Beijing on Friday with several Chinese leaders, including President Xi Jinping and a senior army general, to discuss a number of issues that included areas of tension between the two nations. Her meetings were in preparation for the scheduled state visit next month by the Chinese president to the United States.",2015-08-28 12:28:36+00:00
China’s Vulnerability Is a Test for U.S. Presidential Candidates,"For two decades, American politicians have been escalating their rhetoric about how to confront a rising China, one that grabs territory in the South China Sea, vacuums up American jobs and mounts cyber attacks on the United States.",2015-08-28 16:01:30+00:00
Scott Walker Vows to Defeat ISIS and Assails Democrats,"Gov. Scott Walker of Wisconsin struck an aggressive posture in a foreign policy speech on Friday, taking aim equally at America’s enemies in the Middle East and Mr. Walker’s political rivals in both parties. ",2015-08-28 18:02:25+00:00
Between Iraq and a Hawk Base,"The first sign that the Republican Party’s 17 presidential candidates might have trouble explaining what a conservative foreign policy should look like — beyond simply saying that it should not look like Barack Obama’s — emerged on May 10. That’s when the Fox News host Megyn Kelly asked Jeb Bush a rather predictable question about the Iraq war: ‘‘Knowing what we know now, would you have authorized the invasion?’’",2015-09-01 08:59:02+00:00
"China Announces Cuts of 300,000 Troops at Military Parade Showing Its Might","BEIJING — President Xi Jinping of China announced on Thursday that he would reduce the country’s military personnel by 300,000, using a parade marking 70 years since the end of World War II to present the People’s Liberation Army as a force for peace and regional stability.",2015-09-02 12:49:58+00:00
Many Obstacles Are Seen to U.S. Taking in Large Number of Syrian Refugees,"WASHINGTON — In late spring, with the war in Syria grinding into its fifth year amid an ever-deepening humanitarian catastrophe for millions of refugees, 14 United States senators wrote a letter to President Obama urging that at least 65,000 of the displaced Syrians be allowed to resettle in the United States.",2015-09-05 01:34:12+00:00
Caijing Journalist’s Shaming Signals China’s Growing Control Over News Media,"HONG KONG — When the Chinese Ministry of Public Security arrested nearly 200 people at the end of August for “spreading rumors,” one of the most prominent targets was Wang Xiaolu, a reporter for the respected business magazine Caijing.",2015-09-06 22:52:59+00:00
Apple and Other Tech Companies Tangle With U.S. Over Data Access,"WASHINGTON — In an investigation involving guns and drugs, the Justice Department obtained a court order this summer demanding that Apple turn over, in real time, text messages between suspects using iPhones.",2015-09-07 20:29:42+00:00
China Flexes Tech Muscles Before a State Visit,"HONG KONG — As President Xi Jinping of China prepares for his first state visit to the United States this month, Washington has warned that it could hit Chinese companies with sanctions over digital attacks for trade secrets. Beijing is now pushing back in an unorthodox way: by organizing a technology forum to demonstrate its own sway over the American tech industry.",2015-09-09 01:24:10+00:00
"For China, Migrant Crisis Is Someone Else’s Fault, and Responsibility",Read in Chinese | 点击查看本文中文版,2015-09-09 21:00:55+00:00
Chinese Citizen Held by ISIS Poses Test for Beijing,"HONG KONG — In the advertisement he is known by a number, 05675, which appears above the pocket of his yellow jumpsuit. He stares somberly into the distance, his left eye swollen and disfigured. His price is not named, but his captors describe him as a “limited-time offer.”",2015-09-10 13:46:01+00:00
Cyberthreat Posed by China and Iran Confounds White House,"WASHINGTON — A question from a member of the Pentagon’s new cyberwarfare unit the other day prompted President Obama to voice his frustration about America’s seeming inability to deter a growing wave of computer attacks, and to vow to confront the increasingly aggressive adversaries who are perpetrating them.",2015-09-15 09:00:18+00:00
U.S. and Chinese Climate Change Negotiators to Meet in Los Angeles,"WASHINGTON — President Obama’s top climate change negotiator met with his Chinese counterpart in Los Angeles on Tuesday to announce joint actions by cities, states and provinces in both countries to reduce greenhouse gas emissions.",2015-09-15 10:00:05+00:00
Obama Hints at Sanctions Against China Over Cyberattacks,"WASHINGTON — President Obama warned on Wednesday that his administration was ready to take action against China over online attacks carried out by Beijing or its proxies, publicly raising the specter of sanctions a week before President Xi Jinping arrives in the United States for a state visit.",2015-09-16 19:17:51+00:00
China Tries to Extract Pledge of Compliance From U.S. Tech Firms,"HONG KONG — The Chinese government, which has long used its country’s vast market as leverage over American technology companies, is now asking some of those firms to directly pledge their commitment to contentious policies that could require them to turn user data and intellectual property over to the government.",2015-09-16 22:32:30+00:00
U.S. and China Seek Arms Deal for Cyberspace,"WASHINGTON — The United States and China are negotiating what could become the first arms control accord for cyberspace, embracing a commitment by each country that it will not be the first to use cyberweapons to cripple the other’s critical infrastructure during peacetime, according to officials involved in the talks.",2015-09-19 16:12:11+00:00
"Warily Eyeing China, Philippines May Invite U.S. Back to Subic Bay","SUBIC BAY, Philippines — In a flash of anticolonialist fervor nearly a quarter-century ago, lawmakers in the Philippines expelled the United States from an enormous naval base here, then the largest overseas outpost of the American military. Promising to break free from the “shackles of dictatorship,” they declared that foreign troops would never return.",2015-09-19 18:24:22+00:00
Xi Jinping’s U.S. Visit,Re-inflating the Chinese economy.,2015-09-20 20:58:37+00:00
Xi Jinping of China Arriving in U.S. at Moment of Vulnerability,"BEIJING — President Xi Jinping of China looked regal as he stood in a limousine moving past Tiananmen Square this month, wearing a traditional suit of the kind favored by Mao and waving at parade troops assembled at attention. But the luster of Mr. Xi’s imperial presidency has dulled lately.",2015-09-21 09:00:05+00:00
"Malaysia’s Leader, Najib Razak, Faces U.S. Corruption Inquiry","The embattled prime minister of Malaysia, facing mounting political turmoil and a parade of inquiries at home and abroad into a sovereign wealth fund that he oversees, is now coming under the scrutiny of American investigators as well.",2015-09-21 21:12:24+00:00
China Formally Arrests U.S. Citizen Accused of Spying,"BEIJING — An American businesswoman accused of spying has been formally arrested in China shortly before President Xi Jinping’s trip to the United States, her husband and a family lawyer said on Tuesday, adding to the brew of disputes that have dulled expectations for the visit.",2015-09-22 05:47:46+00:00
Your Tuesday Briefing,(Want to get the briefing by email? Here’s the sign-up.),2015-09-22 09:47:46+00:00
Report Stresses Importance of Agreement to Avoid Cyber Conflict,"As China president Xi Jinping begins a trip to the United States that could include the first arms control accord for cyberspace between the United States and China, a new RAND report that rates the cyber warfare capabilities of the world’s two largest economies shows how important such an agreement could be. ",2015-09-22 14:40:58+00:00
Conflict Flavors Obama’s Meeting With Chinese Leader,"WASHINGTON — For the past two years, the critical question confronting the Obama administration about Xi Jinping, the Chinese president who defied American predictions by challenging the United States’ superpower status early and directly, has been how forcefully to respond.",2015-09-23 01:05:33+00:00
China to Announce Cap-and-Trade Program to Limit Emissions,"WASHINGTON — President Xi Jinping of China will make a landmark commitment on Friday to start a national program in 2017 that will limit and put a price on greenhouse gas emissions, Obama administration officials said Thursday.",2015-09-24 09:00:06+00:00
Q. and A.: Jessica Chen Weiss on Nationalism in Chinese Politics,Read in Chinese | 点击查看本文中文版,2015-09-24 10:15:55+00:00
Pope Francis to Address U.N.’s Largest Gathering of World Leaders,"UNITED NATIONS — It will be the largest gathering of presidents and prime ministers ever at the United Nations. Some of them will assemble here under one roof for the first time in years, and their job will be to wrestle with global crises that they stubbornly disagree on, including climate change, the war in Syria, and a historic exodus of people fleeing conflict and hunger.",2015-09-25 07:45:21+00:00
Xi Jinping’s Inner Circle Offers Cold Shoulder to Western Officials,"BEIJING — When Wang Huning, a policy adviser to the Chinese president, made a six-month trip to the United States in 1988, he returned with notes for a 400-page memoir.",2015-09-25 09:16:46+00:00
Obama and Xi Jinping of China Agree to Steps on Cybertheft,"WASHINGTON — President Obama and President Xi Jinping of China took their first concrete steps on Friday toward reining in the rising threat of cyberattacks between the world’s two largest economies, pledging that their governments would refrain from computer-enabled theft of intellectual property for commercial gain even as Mr. Obama suggested that he might still impose sanctions if rampant Chinese hacking persisted.",2015-09-25 13:09:31+00:00
U.N. Summit Meeting on Women’s Rights Highlights More Tension Between U.S. and China,"UNITED NATIONS — After the South China Sea and cyberspace, the rivalry between the United States and China has found a new front: women’s rights.",2015-09-26 15:26:07+00:00
Clues to U.S. Relationships Can Be Seen in U.N. Body Language,"As President Obama makes his way through the halls and chamber of the United Nations with all the other world leaders attending the General Assembly this week, it will be a little like a high school reunion with motorcades.",2015-09-27 22:43:44+00:00
Limited Progress Seen Even as More Nations Step Up on Climate,"The pledges that countries are making to battle climate change would still allow the world to heat up by more than 6 degrees Fahrenheit, a new analysis shows, a level that scientists say is likely to produce catastrophes ranging from food shortages to widespread extinctions of plant and animal life.",2015-09-28 04:01:20+00:00
Chinese Embrace America’s Culture but Not Its Policies,"BEIJING — Wearing a hoodie emblazoned with an oversize American dollar bill, Zhao Yixiang sells an American brand of skateboards for a living and admires much about the United States, including its raucous rap music and tradition of unfettered expression.",2015-09-28 10:23:26+00:00
President Obama’s Speech to the United Nations General Assembly 2015,The following speech was delivered by President Obama at the United Nations General Assembly as transcribed and released by the White House.,2015-09-28 17:48:00+00:00
"Rallying Global Support, Obama Pledges Larger U.S. Role in Peacekeeping Missions","UNITED NATIONS — President Obama announced Monday that the United States would bolster its support for United Nations peacekeeping missions worldwide, as he rallied more than 50 countries to promise to expand their contributions, amounting to around 40,000 new soldiers and police officers.",2015-09-29 01:10:39+00:00
"Suharto’s Purge, Indonesia’s Silence","This week marks the 50th anniversary of the beginning of a mass slaughter in Indonesia. With American support, more than 500,000 people were murdered by the Indonesian Army and its civilian death squads. At least 750,000 more were tortured and sent to concentration camps, many for decades.",2015-09-29 12:47:48+00:00
Chinese Colonel’s Hard-Line Views Seep Into the Mainstream,"BEIJING — ONE cloudless morning last month, Col. Liu Mingfu watched on his home television as tanks, troop carriers and ballistic missiles rolled past a waving President Xi Jinping in Tiananmen Square. The Communist Party was putting on a military parade, billed as one of the largest in party history, to commemorate the defeat of Japan seven decades earlier.",2015-10-02 13:30:18+00:00
"As Pacific Trade Negotiators Haggle, U.S. Officials Remain Hopeful","ATLANTA — The United States and 11 other Pacific Rim nations neared agreement on Sunday night on the largest regional trade accord in history, a potentially precedent-setting model for global commerce and worker standards that would tie together 40 percent of the world’s economy, from Canada and Chile to Japan and Australia.",2015-10-04 19:23:34+00:00
"Trans-Pacific Partnership Is Reached, but Faces Scrutiny in Congress","ATLANTA — The United States, Japan and 10 other Pacific Rim nations on Monday reached final agreement on the largest regional trade accord in history, teeing up what could be the toughest fight President Obama will face in his final year in office: securing approval from Congress.",2015-10-05 12:14:28+00:00
The Trans-Pacific Partnership Trade Accord Explained,"The Trans-Pacific Partnership, the largest regional trade accord in history, would set new terms for trade and business investment among the United States and 11 other Pacific Rim nations — a far-flung group with an annual gross domestic product of nearly $28 trillion that represents roughly 40 percent of global G.D.P. and one-third of world trade.",2015-10-05 15:26:07+00:00
What Changes Lie Ahead From the Trans-Pacific Partnership Pact,"Dairy farmers in Pennsylvania. Auto-parts workers in the Midwest. Pharmaceutical companies concentrated around New Jersey. These pivotal groups, not to mention consumers across the country, are among those who can expect a wide range of changes in the years ahead from the newly concluded  Trans-Pacific Partnership trade deal.",2015-10-05 21:15:07+00:00
U.S. Allies See Trans-Pacific Partnership as a Check on China,"BEIJING — The Trans-Pacific Partnership trade deal was welcomed on Tuesday as a win for the United States in its contest with China for clout in Asia, as America’s allies expressed optimism about the impact of the 12-nation accord on a region worried about its dependence on the slowing Chinese economy.",2015-10-06 11:12:52+00:00
U.S. Commerce Chief Makes a Pitch in Cuba ,"HAVANA — The United States commerce secretary, Penny Pritzker, told Cuban officials on Tuesday that the Obama administration wants to create as many business opportunities as possible in their nation for American companies despite the long embargo and more than five decades of Cold War estrangement.",2015-10-07 00:35:36+00:00
Col. Liu Mingfu on the U.S. and China as Rivals,Read in Chinese | 点击查看本文中文版,2015-10-08 09:21:49+00:00
